role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Video Editing/Making,Bright Rise,Actively hiring,"Gurgaon, Delhi",3 Months," 10,000-14,000 ","Video Editing, Premiere Pro, After Effects"
Brand Management,The SkinTech India,Actively hiring,Mumbai,3 Months," 10,000-30,000 ","Marketing Strategy, Branding, Communication"
Business Development (Sales),FoodPe,Actively hiring,Gurgaon,3 Months,"12,500","Sales, Negotiation, Business Strategy"
Charity Drive,Hamari Pahchan NGO,Actively hiring,Work from home,1 Week,20% of 2000 Funds Raised,"Fundraising, Communication, Event Management"
Transcription,Samaadhaan,Actively hiring,Work from home,3 Months," 1,000  +  Incentives","Typing, Listening, Attention to Detail"
Community Management,InAmigos Foundation,Actively hiring,Work from home,3 Weeks,20% of Revenue Generated,"Community Building, Communication, Public Relations"
Social Entrepreneurship,Hamari Pahchan NGO,Actively hiring,Work from home,1 Month,Unpaid,"Leadership, Innovation, Social Impact"
Market Research,CavinKare Private Limited,Actively hiring,"Bangalore, Mumbai, Hyderabad, Kolkata, Pune, Chennai, Delhi",3 Weeks," 3,500-5,000 /week","Research, Analysis, Report Writing"
Campus Ambassador,Youth Marketer,Actively hiring,Work from home,1 Month,Performance Based,"Marketing, Networking, Event Promotion"
Telecalling,Card Expertise India Private Limited,Actively hiring,Noida,6 Months," 8,000-12,000 ","Communication, Sales, Customer Handling"
Business Development (Sales),Kabia Investment Managers,Actively hiring,Noida                                                            (Hybrid),3 Months,"10,000","Sales, Negotiation, Business Strategy"
UI/UX Design,Think41,Actively hiring,Bangalore,6 Months,"20,000","Figma, Wireframing, Prototyping"
Field Sales Trainee,Swiggy,Actively hiring,Anand,6 Months,"22,000","Sales, Negotiation, CRM"
Accounting & Tally,Universal Tribes,Actively hiring,Work from home,1 Month,"1,000","Accounting, Tally, Excel"
Field Sales,Swiggy,Actively hiring,Anand,3 Months,"15,000","Sales, Negotiation, CRM"
Business Development (Sales),GenElek Technologies Private Limited,Actively hiring,Delhi,2 Months," 5,000-12,000 ","Sales, Negotiation, Business Strategy"
Film Assistant Director,Small Box Office,Actively hiring,Delhi,6 Months,"7,500","Film Production, Direction, Editing"
Search Engine Optimization (SEO),Techyguide OPC Private Limited,Actively hiring,Bangalore,3 Months,"10,000","SEO, Google Analytics, Keyword Research"
Auditing & Accounting,Salesken.ai,Actively hiring,Bangalore,2 Months,"25,000","Accounting, Tally, Excel"
Digital Marketing,Vidhyashala,Actively hiring,Work from home,1 Month," 2,000  +  Incentives","SEO, Google Ads, Social Media Marketing"
Sales Consultant,Image Media World,Actively hiring,Mumbai,6 Months," 5,000  +  Incentives","Sales, Negotiation, CRM"
Business Research,Image Media World,Actively hiring,Mumbai,6 Months," 7,000-10,000 ","Sales, Negotiation, Business Strategy"
Field Sales,Image Media World,Actively hiring,Mumbai                                                            (Hybrid),1 Month," 1,000 /week","Sales, Negotiation, CRM"
